# AmiraMesh 3D ASCII 2.0
# CreationDate: Mon Apr 21 13:33:26 2008


define Markers 439

Parameters {
    NumSets 2,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Coordinates2 } @2

# Data section follows
@1
  55.403 6.73562 -520.227
  52.8624 17.4538 -511.299
  -0.566476 -10.3227 -453.7
  -13.701 -79.8154 -530.5
  -14.8567 -74.5474 -514.654
  -16.1933 -69.1292 -498.042
  -16.4803 -63.3248 -485.801
  -15.9404 -53.3504 -472.876
  -26.2313 -79.4599 -538.45
  -26.6692 -75.7035 -525.7
  -26.3856 -71.4675 -511.3
  -27.3972 -66.2667 -496.9
  -28.4892 -59.8728 -483.775
  -37.9046 -74.7644 -540.116
  -37.4713 -71.1862 -523.306
  -39.8187 -65.6585 -507.475
  -40.6549 -58.7974 -489.706
  -17.3872 -40.6615 -463.292
  -18.2972 -26.7339 -456.526
  -29.6267 -49.872 -471.51
  -29.4902 -35.5676 -462.157
  -31.3573 -23.0293 -457.9
  -29.8071 -6.01316 -455.462
  -41.6527 -48.549 -475.9
  -42.5032 -34.0866 -466.3
  -43.5031 -18.3883 -462.073
  -43.2228 -1.07238 -461.701
  -49.1469 -67.5955 -546.228
  -51.1066 -65.3381 -531.708
  -51.8482 -61.6133 -518.2
  -53.1987 -57.2968 -504.082
  -55.5073 -48.4547 -489.71
  -55.1977 -39.9883 -480.097
  -55.6498 -27.5793 -473.35
  -54.6795 -14.878 -469.712
  -53.6658 1.03422 -470.515
  -57.8167 -58.9699 -550.895
  -60.6466 -56.6969 -535.26
  -62.8726 -52.3456 -521.415
  -64.128 -48.0924 -508.895
  -64.6994 -39.5944 -495.477
  -64.588 -28.3542 -485.688
  -63.7962 -11.8687 -481.162
  -60.272 6.44934 -481.15
  -63.4853 -45.118 -558.196
  -67.7018 -44.5623 -540.107
  -69.9268 -40.1387 -520.903
  -71.3714 -29.7851 -504.518
  -70.4484 -13.0664 -495.247
  -63.7951 15.262 -492.076
  -64.3067 -31.834 -567.049
  -66.9122 -34.3644 -554.031
  -70.7492 -32.0092 -538.789
  -72.7552 -26.664 -525.699
  -73.7804 -16.5062 -514.237
  -72.3631 -2.2813 -506.5
